batching,seed,macro_f1,macro_recall,binary_auprc,multiclass_auprc,far,early_recall,mean_detection_delay_seconds,class_0_recall,class_0_f1,class_2_recall,class_2_f1,class_8_recall,class_8_f1,class_9_recall,class_9_f1
ORIGINAL,42,0.024474989104221245,0.0240713615402387,0.00479922930563037,0.007848371557820033,-0.09427655835429516,-0.005176391155122917,-49.454545454545496,0.09427655835429516,0.06774307330571694,0.0,-0.001303529184570107,0.0020088878066597537,0.030175099502982805,0.0,0.0012853127927552836
ORIGINAL,43,0.03380176326902207,0.11813340309340037,0.007037597183516375,-0.0013131643068947652,0.024120464491230453,0.02768243965565742,15.23809523809524,-0.02412046449123051,-0.00684991105941779,0.05405405405405406,0.0439666586030627,0.000760942351007543,0.002902154558242942,0.44183908045977016,0.09518815097420034
ORIGINAL,44,0.039450158088568665,0.05280855163559817,-0.06972698662837268,0.042094086181223955,-0.0604389924537404,-0.03977944072469475,66.66666666666666,0.06043899245374029,0.022644433229427552,0.001772264067346041,-0.005159617627497004,0.1490229500213064,0.14000813535730156,0.0,0.0003076813950425288
BALANCED,42,0.00016315184648296732,8.614451604016526e-05,0.00011233907246777086,0.00014252294366590146,-0.000344578064160439,-2.8132560625615533e-05,0.0,0.000344578064160439,0.0002565408751653564,0.0,0.0,0.0,0.0,0.0,0.00039606651076629085
BALANCED,43,-0.026672589864923713,-0.15480591330350485,-0.033608141958641924,-0.02498584529059622,-0.04296888460080639,-0.0440555899397963,23.40530303030303,0.04296888460080628,0.01703136828323215,0.0022153300841825097,0.00734057519982928,0.0013392585377731692,0.009478624220657483,-0.6657471264367816,-0.1405409271634136
BALANCED,44,0.0005574625200847061,-1.0050280939699618e-06,0.00753431770738755,0.003377624004315516,3.445780641608831e-05,0.005401451640128285,0.0,-3.445780641608831e-05,0.0023176573883646467,0.0,0.0,3.0437694040319485e-05,-7.809359272858973e-05,0.0,-9.713715297471706e-06
